title,genre,duration,rating,year,certification,url
Sarfarosh,"Action, Drama, Thriller",174,8.1,1999,Not Rated,https://www.imdb.com//title/tt0200087/
"Monsters, Inc.","Animation, Adventure, Comedy",92 ,8.1,2001,G,https://www.imdb.com//title/tt0198781/
Lagaan: Once Upon a Time in India,"Drama, Musical, Sport",224,8.1,2001,PG,https://www.imdb.com//title/tt0169102/
The Celebration,Drama,105,8.1,1998,R,https://www.imdb.com//title/tt0154420/
The Iron Giant,"Animation, Action, Adventure",86 ,8.1,1999,PG,https://www.imdb.com//title/tt0129167/
The Big Lebowski,"Comedy, Crime",117,8.1,1998,R,https://www.imdb.com//title/tt0118715/
In the Mood for Love,"Drama, Romance",98 ,8.1,2000,PG,https://www.imdb.com//title/tt0118694/
Trainspotting,Drama,93 ,8.1,1996,R,https://www.imdb.com//title/tt0117951/
Fargo,"Crime, Thriller",98 ,8.1,1996,R,https://www.imdb.com//title/tt0116282/
The Bandit,"Crime, Drama, Thriller",128,8.1,1996,Not Rated,https://www.imdb.com//title/tt0116231/
Underground,"Comedy, Drama, Fantasy",167,8.1,1995,Not Rated,https://www.imdb.com//title/tt0114787/
La haine,"Crime, Drama",98 ,8.1,1995,Not Rated,https://www.imdb.com//title/tt0113247/
Before Sunrise,"Drama, Romance",101,8.1,1995,R,https://www.imdb.com//title/tt0112471/
Three Colors: Red,"Drama, Mystery, Romance",99 ,8.1,1994,R,https://www.imdb.com//title/tt0111495/
In the Name of the Father,"Biography, Crime, Drama",133,8.1,1993,R,https://www.imdb.com//title/tt0107207/
Groundhog Day,"Comedy, Drama, Fantasy",101,8.1,1993,PG,https://www.imdb.com//title/tt0107048/
Farewell My Concubine,"Drama, Music, Romance",171,8.1,1993,R,https://www.imdb.com//title/tt0106332/
Raise the Red Lantern,"Drama, Romance",125,8.1,1991,PG,https://www.imdb.com//title/tt0101640/
Time of the Gypsies,"Comedy, Crime, Drama",142,8.1,1988,R,https://www.imdb.com//title/tt0097223/
Dead Poets Society,"Comedy, Drama",128,8.1,1989,PG,https://www.imdb.com//title/tt0097165/
My Neighbor Totoro,"Animation, Comedy, Family",86 ,8.1,1988,G,https://www.imdb.com//title/tt0096283/
Stand by Me,"Adventure, Drama",89 ,8.1,1986,R,https://www.imdb.com//title/tt0092005/
Platoon,"Drama, War",120,8.1,1986,R,https://www.imdb.com//title/tt0091763/
Jean de Florette,"Comedy, Drama",120,8.1,1986,PG,https://www.imdb.com//title/tt0091288/
The Terminator,"Action, Sci-Fi",107,8.1,1984,R,https://www.imdb.com//title/tt0088247/
"Paris, Texas",Drama,145,8.1,1984,R,https://www.imdb.com//title/tt0087884/
Gandhi,"Biography, Drama, History",191,8.1,1982,PG,https://www.imdb.com//title/tt0083987/
Fanny and Alexander,Drama,188,8.1,1982,R,https://www.imdb.com//title/tt0083922/
Blade Runner,"Action, Drama, Sci-Fi",117,8.1,1982,R,https://www.imdb.com//title/tt0083658/
Stalker,"Drama, Sci-Fi",162,8.1,1979,Not Rated,https://www.imdb.com//title/tt0079944/
Autumn Sonata,"Drama, Music",99 ,8.1,1978,PG,https://www.imdb.com//title/tt0077711/
The Deer Hunter,"Drama, War",183,8.1,1978,R,https://www.imdb.com//title/tt0077416/
Rocky,"Drama, Sport",120,8.1,1976,PG,https://www.imdb.com//title/tt0075148/
Network,Drama,121,8.1,1976,R,https://www.imdb.com//title/tt0074958/
The Message,"Biography, Drama, History",177,8.1,1976,PG,https://www.imdb.com//title/tt0074896/
Sholay,"Action, Adventure, Comedy",162,8.1,1975,Not Rated,https://www.imdb.com//title/tt0073707/
Jaws,"Adventure, Thriller",124,8.1,1975,PG,https://www.imdb.com//title/tt0073195/
Barry Lyndon,"Adventure, Drama, War",185,8.1,1975,PG,https://www.imdb.com//title/tt0072684/
A Woman Under the Influence,"Drama, Romance",155,8.1,1974,R,https://www.imdb.com//title/tt0072417/
Paper Moon,"Comedy, Crime, Drama",102,8.1,1973,PG,https://www.imdb.com//title/tt0070510/
The Exorcist,Horror,122,8.1,1973,R,https://www.imdb.com//title/tt0070047/
Anand,"Drama, Musical",122,8.1,1971,Not Rated,https://www.imdb.com//title/tt0066763/
Cool Hand Luke,"Crime, Drama",127,8.1,1967,GP,https://www.imdb.com//title/tt0061512/
Persona,"Drama, Thriller",83 ,8.1,1966,Not Rated,https://www.imdb.com//title/tt0060827/
Andrei Rublev,"Biography, Drama, History",205,8.1,1966,R,https://www.imdb.com//title/tt0060107/
The Sound of Music,"Biography, Drama, Family",172,8.1,1965,G,https://www.imdb.com//title/tt0059742/
The Battle of Algiers,"Drama, War",121,8.1,1966,Not Rated,https://www.imdb.com//title/tt0058946/
The Man Who Shot Liberty Valance,"Drama, Western",123,8.1,1962,Approved,https://www.imdb.com//title/tt0056217/
The Virgin Spring,Drama,89 ,8.1,1960,Not Rated,https://www.imdb.com//title/tt0053976/
Inherit the Wind,"Biography, Drama, History",128,8.1,1960,Passed,https://www.imdb.com//title/tt0053946/
The 400 Blows,"Crime, Drama",99 ,8.1,1959,Not Rated,https://www.imdb.com//title/tt0053198/
Ben-Hur,"Adventure, Drama",212,8.1,1959,G,https://www.imdb.com//title/tt0052618/
The Hidden Fortress,"Action, Adventure, Drama",126,8.1,1958,Not Rated,https://www.imdb.com//title/tt0051808/
Wild Strawberries,"Drama, Romance",91 ,8.1,1957,Not Rated,https://www.imdb.com//title/tt0050986/
The Seventh Seal,"Drama, Fantasy",96 ,8.1,1957,Not Rated,https://www.imdb.com//title/tt0050976/
Nights of Cabiria,Drama,110,8.1,1957,Not Rated,https://www.imdb.com//title/tt0050783/
Throne of Blood,"Drama, History",110,8.1,1957,Not Rated,https://www.imdb.com//title/tt0050613/
Rififi,"Crime, Drama, Thriller",118,8.1,1955,Not Rated,https://www.imdb.com//title/tt0048021/
On the Waterfront,"Crime, Drama, Thriller",108,8.1,1954,Approved,https://www.imdb.com//title/tt0047296/
Diabolique,"Crime, Drama, Horror",117,8.1,1955,Not Rated,https://www.imdb.com//title/tt0046911/
Ace in the Hole,"Drama, Film-Noir",111,8.1,1951,Approved,https://www.imdb.com//title/tt0043338/
White Heat,"Action, Crime, Drama",114,8.1,1949,Not Rated,https://www.imdb.com//title/tt0042041/
The Third Man,"Film-Noir, Mystery, Thriller",93 ,8.1,1949,Approved,https://www.imdb.com//title/tt0041959/
The Red Shoes,"Drama, Music, Romance",135,8.1,1948,Not Rated,https://www.imdb.com//title/tt0040725/
The Best Years of Our Lives,"Drama, Romance, War",170,8.1,1946,Approved,https://www.imdb.com//title/tt0036868/
Rebecca,"Drama, Film-Noir, Mystery",130,8.1,1940,Approved,https://www.imdb.com//title/tt0032976/
The Grapes of Wrath,Drama,129,8.1,1940,Passed,https://www.imdb.com//title/tt0032551/
The Wizard of Oz,"Adventure, Family, Fantasy",102,8.1,1939,PG,https://www.imdb.com//title/tt0032138/
Mr. Smith Goes to Washington,"Comedy, Drama",129,8.1,1939,Passed,https://www.imdb.com//title/tt0031679/
The Grand Illusion,"Drama, War",113,8.1,1937,Not Rated,https://www.imdb.com//title/tt0028950/
It Happened One Night,"Comedy, Romance",105,8.1,1934,Passed,https://www.imdb.com//title/tt0025316/
All Quiet on the Western Front,"Drama, War",152,8.1,1930,Passed,https://www.imdb.com//title/tt0020629/
The Circus,"Comedy, Family, Romance",72 ,8.1,1928,Passed,https://www.imdb.com//title/tt0018773/
Sunrise,"Drama, Romance",94 ,8.1,1927,Passed,https://www.imdb.com//title/tt0018455/
"Quo Vadis, Aida?","Drama, History, War",101,8.0,2020,NA,https://www.imdb.com//title/tt8633462/
Wolfwalkers,"Animation, Adventure, Family",103,8.0,2020,PG,https://www.imdb.com//title/tt5198068/
The Invisible Guest,"Crime, Drama, Mystery",106,8.0,2016,TV-MA,https://www.imdb.com//title/tt4857264/
La La Land,"Comedy, Drama, Music",128,8.0,2016,PG-13,https://www.imdb.com//title/tt3783958/
Lion,"Biography, Drama",118,8.0,2016,PG-13,https://www.imdb.com//title/tt3741834/
The Martian,"Adventure, Drama, Sci-Fi",144,8.0,2015,PG-13,https://www.imdb.com//title/tt3659388/
Mommy,Drama,139,8.0,I) (,R,https://www.imdb.com//title/tt3612616/
Haider,"Action, Crime, Drama",160,8.0,2014,Not Rated,https://www.imdb.com//title/tt3390572/
Soul,"Animation, Adventure, Comedy",100,8.0,2020,PG,https://www.imdb.com//title/tt2948372/
Zootopia,"Animation, Adventure, Comedy",108,8.0,2016,PG,https://www.imdb.com//title/tt2948356/
Baahubali: The Beginning,"Action, Drama",159,8.0,2015,Not Rated,https://www.imdb.com//title/tt2631186/
The Tale of The Princess Kaguya,"Animation, Drama, Family",137,8.0,2013,PG,https://www.imdb.com//title/tt2576852/
Special 26,"Crime, Drama, Thriller",144,8.0,2013,Not Rated,https://www.imdb.com//title/tt2377938/
The Imitation Game,"Biography, Drama, Thriller",114,8.0,2014,PG-13,https://www.imdb.com//title/tt2084970/
Guardians of the Galaxy,"Action, Adventure, Comedy",121,8.0,2014,PG-13,https://www.imdb.com//title/tt2015381/
Song of the Sea,"Animation, Adventure, Drama",93 ,8.0,2014,PG,https://www.imdb.com//title/tt1865505/
Blade Runner 2049,"Action, Drama, Mystery",164,8.0,2017,R,https://www.imdb.com//title/tt1856101/
Her,"Drama, Romance, Sci-Fi",126,8.0,2013,R,https://www.imdb.com//title/tt1798709/
The Revenant,"Action, Adventure, Drama",156,8.0,2015,R,https://www.imdb.com//title/tt1663202/
Avatar: The Way of Water,"Action, Adventure, Fantasy",192,8.0,2022,PG-13,https://www.imdb.com//title/tt1630029/
Elite Squad 2: The Enemy Within,"Action, Crime, Drama",115,8.0,2010,Not Rated,https://www.imdb.com//title/tt1555149/
The King's Speech,"Biography, Drama, History",118,8.0,2010,R,https://www.imdb.com//title/tt1504320/
Deadpool,"Action, Adventure, Comedy",108,8.0,2016,R,https://www.imdb.com//title/tt1431045/
Zack Snyder's Justice League,"Action, Adventure, Fantasy",242,8.0,2021,R,https://www.imdb.com//title/tt12361974/
Ip Man,"Action, Biography, Drama",106,8.0,2008,R,https://www.imdb.com//title/tt1220719/
The Banshees of Inisherin,"Comedy, Drama",114,8.0,2022,R,https://www.imdb.com//title/tt11813216/
Nefes: Vatan Sagolsun,"Action, Drama, Thriller",128,8.0,2009,NA,https://www.imdb.com//title/tt1171701/
Dune,"Action, Adventure, Drama",155,8.0,2021,PG-13,https://www.imdb.com//title/tt1160419/
Departures,Drama,130,8.0,2008,PG-13,https://www.imdb.com//title/tt1069238/
CODA,"Comedy, Drama, Music",111,8.0,2021,PG-13,https://www.imdb.com//title/tt10366460/
Slumdog Millionaire,"Crime, Drama, Romance",120,8.0,2008,R,https://www.imdb.com//title/tt1010048/
Black Swan,"Drama, Thriller",108,8.0,2010,R,https://www.imdb.com//title/tt0947798/
Elite Squad,"Action, Crime, Drama",115,8.0,2007,R,https://www.imdb.com//title/tt0861739/
The Avengers,"Action, Adventure, Sci-Fi",143,8.0,2012,PG-13,https://www.imdb.com//title/tt0848228/
Persepolis,"Animation, Biography, Drama",96 ,8.0,2007,PG-13,https://www.imdb.com//title/tt0808417/
"Carry On, Munna Bhai","Comedy, Drama, Romance",144,8.0,2006,Not Rated,https://www.imdb.com//title/tt0456144/
The Pursuit of Happyness,"Biography, Drama",117,8.0,2006,PG-13,https://www.imdb.com//title/tt0454921/
Blood Diamond,"Adventure, Drama, Thriller",143,8.0,2006,R,https://www.imdb.com//title/tt0450259/
The Bourne Ultimatum,"Action, Mystery, Thriller",115,8.0,2007,PG-13,https://www.imdb.com//title/tt0440963/
Nobody Knows,Drama,141,8.0,2004,PG-13,https://www.imdb.com//title/tt0408664/
Sin City,"Crime, Thriller",124,8.0,2005,R,https://www.imdb.com//title/tt0401792/
The Diving Bell and the Butterfly,"Biography, Drama",112,8.0,2007,PG-13,https://www.imdb.com//title/tt0401383/
Tae Guk Gi: The Brotherhood of War,"Action, Drama, War",140,8.0,2004,R,https://www.imdb.com//title/tt0386064/
G.O.R.A.,"Adventure, Comedy, Sci-Fi",127,8.0,2004,NA,https://www.imdb.com//title/tt0384116/
Casino Royale,"Action, Adventure, Thriller",144,8.0,2006,PG-13,https://www.imdb.com//title/tt0381061/
Kill Bill: Vol. 2,"Action, Crime, Thriller",137,8.0,2004,R,https://www.imdb.com//title/tt0378194/
"Spring, Summer, Fall, Winter... and Spring","Drama, Romance",103,8.0,2003,R,https://www.imdb.com//title/tt0374546/
The Sea Inside,"Biography, Drama",126,8.0,I) (,PG-13,https://www.imdb.com//title/tt0369702/
Cinderella Man,"Biography, Drama, Romance",144,8.0,2005,PG-13,https://www.imdb.com//title/tt0352248/
Infernal Affairs,"Action, Crime, Drama",101,8.0,2002,R,https://www.imdb.com//title/tt0338564/
Big Fish,"Adventure, Drama, Fantasy",125,8.0,2003,PG-13,https://www.imdb.com//title/tt0319061/
The Incredibles,"Animation, Action, Adventure",115,8.0,2004,PG,https://www.imdb.com//title/tt0317705/
My Sassy Girl,"Comedy, Drama, Romance",137,8.0,2001,Not Rated,https://www.imdb.com//title/tt0293715/
Dogville,"Crime, Drama",178,8.0,2003,R,https://www.imdb.com//title/tt0276919/
Vizontele,"Comedy, Drama",110,8.0,2001,NA,https://www.imdb.com//title/tt0270053/
Donnie Darko,"Drama, Mystery, Sci-Fi",113,8.0,2001,R,https://www.imdb.com//title/tt0246578/
Magnolia,Drama,188,8.0,1999,R,https://www.imdb.com//title/tt0175880/
Neon Genesis Evangelion: The End of Evangelion,"Animation, Action, Drama",87 ,8.0,1997,TV-MA,https://www.imdb.com//title/tt0169858/
The Straight Story,"Biography, Drama",112,8.0,1999,G,https://www.imdb.com//title/tt0166896/
Perfect Blue,"Animation, Crime, Drama",81 ,8.0,1997,R,https://www.imdb.com//title/tt0156887/
Central Station,Drama,110,8.0,1998,R,https://www.imdb.com//title/tt0140888/
The Legend of 1900,"Drama, Music, Romance",169,8.0,1998,R,https://www.imdb.com//title/tt0120731/
"Black Cat, White Cat","Comedy, Crime, Romance",127,8.0,1998,R,https://www.imdb.com//title/tt0118843/
Sling Blade,Drama,135,8.0,1996,R,https://www.imdb.com//title/tt0117666/
Secrets & Lies,"Comedy, Drama",136,8.0,1996,R,https://www.imdb.com//title/tt0117589/
12 Monkeys,"Mystery, Sci-Fi, Thriller",129,8.0,1995,R,https://www.imdb.com//title/tt0114746/
Dilwale Dulhania Le Jayenge,"Drama, Romance",181,8.0,1995,Not Rated,https://www.imdb.com//title/tt0112870/
Chungking Express,"Comedy, Crime, Drama",102,8.0,1994,PG-13,https://www.imdb.com//title/tt0109424/
Andaz Apna Apna,"Action, Comedy, Romance",160,8.0,1994,Not Rated,https://www.imdb.com//title/tt0109117/
Scent of a Woman,Drama,156,8.0,1992,R,https://www.imdb.com//title/tt0105323/
Aladdin,"Animation, Adventure, Comedy",90 ,8.0,1992,G,https://www.imdb.com//title/tt0103639/
JFK,"Drama, History, Thriller",189,8.0,1991,R,https://www.imdb.com//title/tt0102138/
Beauty and the Beast,"Animation, Family, Fantasy",84 ,8.0,1991,G,https://www.imdb.com//title/tt0101414/
Dances with Wolves,"Adventure, Drama, Western",181,8.0,1990,PG-13,https://www.imdb.com//title/tt0099348/
Rain Man,Drama,133,8.0,1988,R,https://www.imdb.com//title/tt0095953/
Akira,"Animation, Action, Drama",124,8.0,1988,R,https://www.imdb.com//title/tt0094625/
The Princess Bride,"Adventure, Family, Fantasy",98 ,8.0,1987,PG,https://www.imdb.com//title/tt0093779/
Wings of Desire,"Drama, Fantasy, Romance",128,8.0,1987,PG-13,https://www.imdb.com//title/tt0093191/
"Goodbye, Children","Drama, War",104,8.0,1987,PG,https://www.imdb.com//title/tt0092593/
Castle in the Sky,"Animation, Adventure, Family",125,8.0,1986,PG,https://www.imdb.com//title/tt0092067/
Nausicaä of the Valley of the Wind,"Animation, Adventure, Sci-Fi",117,8.0,1984,PG,https://www.imdb.com//title/tt0087544/
Nostalghia,Drama,125,8.0,1983,Not Rated,https://www.imdb.com//title/tt0086022/
Pink Floyd: The Wall,"Drama, Fantasy, Music",95 ,8.0,1982,R,https://www.imdb.com//title/tt0084503/
Fitzcarraldo,"Adventure, Drama",158,8.0,1982,PG,https://www.imdb.com//title/tt0083946/
Life of Brian,Comedy,94 ,8.0,1979,R,https://www.imdb.com//title/tt0079470/
Being There,"Comedy, Drama",130,8.0,1979,PG,https://www.imdb.com//title/tt0078841/
Annie Hall,"Comedy, Romance",93 ,8.0,1977,PG,https://www.imdb.com//title/tt0075686/
Dog Day Afternoon,"Biography, Crime, Drama",125,8.0,1975,R,https://www.imdb.com//title/tt0072890/
Mirror,"Biography, Drama",107,8.0,1975,Not Rated,https://www.imdb.com//title/tt0072443/
Young Frankenstein,Comedy,106,8.0,1974,PG,https://www.imdb.com//title/tt0072431/
Papillon,"Biography, Crime, Drama",151,8.0,1973,R,https://www.imdb.com//title/tt0070511/
Cries & Whispers,Drama,91 ,8.0,1972,R,https://www.imdb.com//title/tt0069467/
Solaris,"Drama, Mystery, Sci-Fi",167,8.0,1972,PG,https://www.imdb.com//title/tt0069293/
Sleuth,"Mystery, Thriller",138,8.0,1972,PG,https://www.imdb.com//title/tt0069281/
The Last Picture Show,"Drama, Romance",118,8.0,1971,R,https://www.imdb.com//title/tt0067328/
Fiddler on the Roof,"Drama, Family, Musical",181,8.0,1971,G,https://www.imdb.com//title/tt0067093/
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",110,8.0,1969,PG,https://www.imdb.com//title/tt0064115/
Rosemary's Baby,"Drama, Horror",137,8.0,1968,Approved,https://www.imdb.com//title/tt0063522/
Planet of the Apes,"Adventure, Sci-Fi",112,8.0,1968,G,https://www.imdb.com//title/tt0063442/
Le Samouraï,"Crime, Drama",101,8.0,1967,GP,https://www.imdb.com//title/tt0062229/
The Graduate,"Comedy, Drama, Romance",106,8.0,1967,PG,https://www.imdb.com//title/tt0061722/
Who's Afraid of Virginia Woolf?,Drama,131,8.0,1966,Not Rated,https://www.imdb.com//title/tt0061184/
The Leopard,"Drama, History",186,8.0,1963,PG,https://www.imdb.com//title/tt0057091/
8½,Drama,138,8.0,1963,Not Rated,https://www.imdb.com//title/tt0056801/
The Exterminating Angel,"Drama, Fantasy",95 ,8.0,1962,Not Rated,https://www.imdb.com//title/tt0056732/
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",134,8.0,1962,Passed,https://www.imdb.com//title/tt0056687/
Sanjuro,"Action, Drama, Thriller",96 ,8.0,1962,Not Rated,https://www.imdb.com//title/tt0056443/
Ivan's Childhood,"Drama, War",95 ,8.0,1962,Not Rated,https://www.imdb.com//title/tt0056111/
Through a Glass Darkly,Drama,90 ,8.0,1961,Not Rated,https://www.imdb.com//title/tt0055499/
The Hustler,"Drama, Sport",134,8.0,1961,Not Rated,https://www.imdb.com//title/tt0054997/
La dolce vita,"Comedy, Drama",174,8.0,1960,Not Rated,https://www.imdb.com//title/tt0053779/
Rio Bravo,Western,141,8.0,1959,Passed,https://www.imdb.com//title/tt0053221/
Anatomy of a Murder,"Drama, Mystery",161,8.0,1959,Not Rated,https://www.imdb.com//title/tt0052561/
Touch of Evil,"Crime, Drama, Film-Noir",95 ,8.0,1958,PG-13,https://www.imdb.com//title/tt0052311/
Sweet Smell of Success,"Drama, Film-Noir",96 ,8.0,1957,Approved,https://www.imdb.com//title/tt0051036/
The Killing,"Crime, Drama, Film-Noir",84 ,8.0,1956,Approved,https://www.imdb.com//title/tt0049406/
The Night of the Hunter,"Crime, Drama, Film-Noir",92 ,8.0,1955,Not Rated,https://www.imdb.com//title/tt0048424/
La strada,Drama,108,8.0,1954,Not Rated,https://www.imdb.com//title/tt0047528/
Stalag 17,"Comedy, Drama, War",120,8.0,1953,Not Rated,https://www.imdb.com//title/tt0046359/
Roman Holiday,"Comedy, Romance",118,8.0,1953,Passed,https://www.imdb.com//title/tt0046250/
High Noon,"Drama, Thriller, Western",85 ,8.0,1952,PG,https://www.imdb.com//title/tt0044706/
Kind Hearts and Coronets,"Comedy, Crime",106,8.0,1949,Not Rated,https://www.imdb.com//title/tt0041546/
Out of the Past,"Crime, Drama, Film-Noir",97 ,8.0,1947,Not Rated,https://www.imdb.com//title/tt0039689/
"Rome, Open City","Drama, Thriller, War",103,8.0,1945,Not Rated,https://www.imdb.com//title/tt0038890/
Brief Encounter,"Drama, Romance",86 ,8.0,1945,Not Rated,https://www.imdb.com//title/tt0037558/
The Maltese Falcon,"Crime, Film-Noir, Mystery",100,8.0,1941,Passed,https://www.imdb.com//title/tt0033870/
The Shop Around the Corner,"Comedy, Drama, Romance",99 ,8.0,1940,Not Rated,https://www.imdb.com//title/tt0033045/
The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller",67 ,8.0,1920,Not Rated,https://www.imdb.com//title/tt0010323/
Knives Out,"Comedy, Crime, Drama",130,7.9,2019,PG-13,https://www.imdb.com//title/tt8946378/
RRR,"Action, Drama",187,7.9,2022,Not Rated,https://www.imdb.com//title/tt8178634/
Shoplifters,"Crime, Drama, Thriller",121,7.9,2018,R,https://www.imdb.com//title/tt8075192/
Badhaai Ho,"Comedy, Drama",124,7.9,2018,Not Rated,https://www.imdb.com//title/tt7725596/
Marriage Story,"Drama, Romance",137,7.9,2019,R,https://www.imdb.com//title/tt7653254/
Super 30,"Biography, Drama",154,7.9,2019,Not Rated,https://www.imdb.com//title/tt7485048/
Pad Man,"Biography, Comedy, Drama",140,7.9,2018,PG-13,https://www.imdb.com//title/tt7218518/
Togo,"Adventure, Biography, Drama",113,7.9,2019,PG,https://www.imdb.com//title/tt5116302/
Airlift,"Action, Drama, History",130,7.9,2016,Not Rated,https://www.imdb.com//title/tt4387040/
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",184,7.9,2016,Not Rated,https://www.imdb.com//title/tt4169250/
Baby,"Action, Crime, Thriller",159,7.9,I) (,Not Rated,https://www.imdb.com//title/tt3848892/
Sing Street,"Comedy, Drama, Music",106,7.9,2016,PG-13,https://www.imdb.com//title/tt3544112/
Thor: Ragnarok,"Action, Adventure, Comedy",130,7.9,2017,PG-13,https://www.imdb.com//title/tt3501632/
Jojo Rabbit,"Comedy, Drama, War",108,7.9,2019,PG-13,https://www.imdb.com//title/tt2584384/
Wonder,"Drama, Family",113,7.9,I) (,PG,https://www.imdb.com//title/tt2543472/
Arrival,"Drama, Mystery, Sci-Fi",116,7.9,II) ,PG-13,https://www.imdb.com//title/tt2543164/
Gully Boy,"Drama, Music, Romance",154,7.9,2019,Not Rated,https://www.imdb.com//title/tt2395469/
Short Term 12,Drama,96 ,7.9,2013,R,https://www.imdb.com//title/tt2370248/
The Raid 2,"Action, Crime, Thriller",150,7.9,2014,R,https://www.imdb.com//title/tt2265171/
Before Midnight,"Drama, Romance",109,7.9,2013,R,https://www.imdb.com//title/tt2209418/
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",132,7.9,2014,PG-13,https://www.imdb.com//title/tt1877832/
Bohemian Rhapsody,"Biography, Drama, Music",134,7.9,2018,PG-13,https://www.imdb.com//title/tt1727824/
The Way He Looks,"Drama, Romance",96 ,7.9,2014,Not Rated,https://www.imdb.com//title/tt1702014/
The Perks of Being a Wallflower,Drama,103,7.9,2012,PG-13,https://www.imdb.com//title/tt1659337/
The Artist,"Comedy, Drama, Romance",100,7.9,I) (,PG-13,https://www.imdb.com//title/tt1655442/
Edge of Tomorrow,"Action, Adventure, Sci-Fi",113,7.9,2014,PG-13,https://www.imdb.com//title/tt1631867/
Amour,Drama,127,7.9,2012,PG-13,https://www.imdb.com//title/tt1602620/
About Elly,"Drama, Mystery",119,7.9,2009,TV-PG,https://www.imdb.com//title/tt1360860/
Dev.D,"Comedy, Drama, Romance",144,7.9,2009,Not Rated,https://www.imdb.com//title/tt1327035/
My Name Is Khan,"Adventure, Drama, Romance",165,7.9,2010,PG-13,https://www.imdb.com//title/tt1188996/
Let the Right One In,"Drama, Fantasy, Horror",114,7.9,2008,R,https://www.imdb.com//title/tt1139797/
District 9,"Action, Sci-Fi, Thriller",112,7.9,2009,R,https://www.imdb.com//title/tt1136608/
The Wrestler,"Drama, Sport",109,7.9,2008,R,https://www.imdb.com//title/tt1125849/
Jab We Met,"Comedy, Drama, Romance",138,7.9,2007,Not Rated,https://www.imdb.com//title/tt1093370/
Boyhood,Drama,165,7.9,I) (,R,https://www.imdb.com//title/tt1065073/
"4 Months, 3 Weeks and 2 Days",Drama,113,7.9,2007,Not Rated,https://www.imdb.com//title/tt1032846/
Star Trek,"Action, Adventure, Sci-Fi",127,7.9,2009,PG-13,https://www.imdb.com//title/tt0796366/
Dallas Buyers Club,"Biography, Drama",117,7.9,2013,R,https://www.imdb.com//title/tt0790636/
In Bruges,"Comedy, Crime, Drama",107,7.9,2008,R,https://www.imdb.com//title/tt0780536/
The Man from Earth,"Drama, Fantasy, Mystery",87 ,7.9,2007,Not Rated,https://www.imdb.com//title/tt0756683/
Letters from Iwo Jima,"Action, Adventure, Drama",141,7.9,2006,R,https://www.imdb.com//title/tt0498380/
Life of Pi,"Adventure, Drama, Fantasy",127,7.9,2012,PG,https://www.imdb.com//title/tt0454876/
Fantastic Mr. Fox,"Animation, Adventure, Comedy",87 ,7.9,2009,PG,https://www.imdb.com//title/tt0432283/
3-Iron,"Crime, Drama, Romance",88 ,7.9,2004,R,https://www.imdb.com//title/tt0423866/
C.R.A.Z.Y.,"Comedy, Drama",129,7.9,2005,Not Rated,https://www.imdb.com//title/tt0401085/
The Return,Drama,110,7.9,2003,Not Rated,https://www.imdb.com//title/tt0376968/
Iron Man,"Action, Adventure, Sci-Fi",126,7.9,2008,PG-13,https://www.imdb.com//title/tt0371746/
Shaun of the Dead,"Comedy, Horror",99 ,7.9,2004,R,https://www.imdb.com//title/tt0365748/
Kal Ho Naa Ho,"Comedy, Drama, Musical",186,7.9,2003,Not Rated,https://www.imdb.com//title/tt0347304/
Head-On,"Drama, Romance",121,7.9,2004,R,https://www.imdb.com//title/tt0347048/
Mystic River,"Crime, Drama, Mystery",138,7.9,2003,R,https://www.imdb.com//title/tt0327056/
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",142,7.9,2004,PG,https://www.imdb.com//title/tt0304141/
Hero,"Action, Adventure, Drama",120,7.9,2002,PG-13,https://www.imdb.com//title/tt0299977/
Talk to Her,"Drama, Mystery, Romance",112,7.9,2002,R,https://www.imdb.com//title/tt0287467/
No Man's Land,"Comedy, Drama, War",98 ,7.9,I) (,R,https://www.imdb.com//title/tt0283509/
The Bourne Identity,"Action, Mystery, Thriller",119,7.9,2002,PG-13,https://www.imdb.com//title/tt0258463/
Nine Queens,"Crime, Drama, Thriller",114,7.9,2000,R,https://www.imdb.com//title/tt0247586/
Children of Men,"Action, Drama, Sci-Fi",109,7.9,2006,R,https://www.imdb.com//title/tt0206634/
"Crouching Tiger, Hidden Dragon","Action, Adventure, Drama",120,7.9,2000,PG-13,https://www.imdb.com//title/tt0190332/
Almost Famous,"Adventure, Comedy, Drama",122,7.9,2000,R,https://www.imdb.com//title/tt0181875/
Dancer in the Dark,"Crime, Drama, Musical",140,7.9,2000,R,https://www.imdb.com//title/tt0168629/
Mulholland Drive,"Drama, Mystery, Thriller",147,7.9,2001,R,https://www.imdb.com//title/tt0166924/
Shrek,"Animation, Adventure, Comedy",90 ,7.9,2001,PG,https://www.imdb.com//title/tt0126029/
Toy Story 2,"Animation, Adventure, Comedy",92 ,7.9,1999,G,https://www.imdb.com//title/tt0120363/
Titanic,"Drama, Romance",194,7.9,1997,PG-13,https://www.imdb.com//title/tt0120338/
Knockin' on Heaven's Door,"Action, Crime, Comedy",87 ,7.9,1997,Not Rated,https://www.imdb.com//title/tt0119472/
